OffensiveRowNames,coef.OffGoalsRidge.,coef.OffShotAttRidge.,coef.OffCornersRidge.,coef.OffYellowCardsRidge.,coef.OffRedCardsRidge.,coef.OffFreeKicksRidge.,coef.OffPenaltiesRidge.,coef.OffCounterAttacksRidge.,coef.OffShotsOnTargetRidge.,coef.OffKeyPassesRidge.
`Aaron Connolly`,-0.017065215798867182,-0.7092138173420399,-0.26628299482208545,0.07197854524403187,-0.004168835200352352,-0.48324709380096914,8.886526001026215e-5,0.009085837293286525,0.014349417886006209,-0.3117771606754982
`Aaron Cresswell`,-0.012596198300813316,0.09737519463726596,0.05883860653843234,0.02866816197700975,-7.25182137440582e-4,0.05764676006688413,-2.1671796193377602e-4,-0.005051391683579792,1.4869085070047408e-4,0.09941723557086257
`Aaron Lennon`,-0.12496579625559692,0.09813582550187278,0.35542926455527707,0.036328767768505334,0.0024374749605059905,-0.6145133205837408,-0.019464116238464255,0.04741137093828834,0.04836447130265219,0.1939377102135987
`Aaron Mooy`,-0.02117546574200394,0.24398124022719436,-0.1758683981383569,0.019251548006519,1.4935608284366342e-4,-0.5257603022959891,-0.002520214027634816,0.004332360149024309,-0.15202294794201704,0.01539193611518066
`Aaron Ramsdale`,-0.048988957899863524,-0.48269535300359256,-0.16147070384238651,0.08048120062940842,0.009027775461262755,-0.40405896886631915,-0.011379054823409535,-0.012149463613176011,-0.18189490660312985,-0.08685999241047644
`Aaron Wan-Bissaka`,0.03490698540761347,0.21028349539918992,0.06663070356077896,0.02109273829194342,5.645045109719587e-4,0.04743032610829935,0.003016423314759006,0.0024568065370821376,0.04909239458020387,0.06433542879606641
`Abdoulaye Doucouré`,-0.02661119898300101,0.07052386386087835,-0.018070397165792725,0.0023801130848673845,-8.105905493223131e-4,-0.07627171396737897,0.009322281428398789,-0.005057698667221183,-0.06454103905114028,0.022338381553887152
`Adam Idah`,-0.18429569624737108,-0.25158932229585845,0.3023965575619787,-0.26349199633702847,0.003384888527865298,-0.5593083509722035,-0.004980398673525601,0.022966636245191827,-0.21235262968237575,-0.1946761859655767
`Adam Lallana`,0.13899894437471721,-1.1092617199219634,-0.36597999250988783,0.0979612548515853,0.0035225516138999474,0.7909010675954138,0.030172295797926435,0.14163708672265393,-0.006761579577851797,-0.0559638329418477
`Adam Masina`,-0.04188231569835859,0.4467212415489692,0.13658190558063435,0.13368236534565606,8.116415139568134e-4,-0.20796473614202018,0.006533409145802975,0.011516667393462415,-0.028212408159132875,0.020950230605603515
`Adam Smith`,-0.08977507723060518,-0.2151347703405996,-0.07552114149879935,0.06628055937810344,-0.002606096965362254,-0.43444237681075315,-0.019174661734345934,-0.026984208154450497,-0.2093192067143728,-0.041996203245898006
`Adam Webster`,-0.008151964869410347,-0.23255265065684333,-0.00952860812860294,0.06809268333637043,0.0015790058064631429,-0.21932560772953621,-0.0010892818754959926,0.009835611100251421,-0.054777743577753564,-0.12293570349048545
`Adama Traoré`,0.03738409131054697,0.18249331716485898,-0.10339937194122267,-0.0839142488238476,0.025304871356729,0.19323830236061645,5.830182429373834e-4,0.08195650341310969,-0.06693639928437958,-0.007737152042563685
Adrián,-0.00835573294147153,-0.3246325477630141,0.1728715451653236,-0.11976470631966578,-0.004970236081491724,0.10783639765424255,0.016066120331986684,0.022372555987827943,0.04098195879329957,-0.20428713294513634
`Adrian Mariappa`,-0.07233457400113741,0.15050948280867982,0.28881902091070966,0.07821833124762098,0.005933955065270174,-0.1739942498328176,3.978040819630188e-4,-0.002432695211067379,-0.05019836432249528,0.05110886813116079
`Ahmed El Mohamady`,-0.04293368353029602,-1.2948831153241331,-0.0577771590303412,-0.049713596586226864,0.08235351405434241,-0.26986404292583693,-0.028631964370255055,0.00109008047459828,-0.10783593925619941,-0.011266612256612001
